TIME,PREV_RATE,BASE_RATE,CHANGE,CHANGE_BP,ACTION,NOTE
20210725,,0.5,0.0,0.0,조회시작 기준금리,조회 시작 시점 기준금리 (0.50%)
20210826,0.5,0.75,0.25,25.0,인상,베이비스텝 (+25bp 인상)
20211125,0.75,1.0,0.25,25.0,인상,베이비스텝 (+25bp 인상)
20220114,1.0,1.25,0.25,25.0,인상,베이비스텝 (+25bp 인상)
20220414,1.25,1.5,0.25,25.0,인상,베이비스텝 (+25bp 인상)
20220526,1.5,1.75,0.25,25.0,인상,베이비스텝 (+25bp 인상)
20220713,1.75,2.25,0.5,50.0,인상,빅스텝 (+50bp 인상)
20220825,2.25,2.5,0.25,25.0,인상,베이비스텝 (+25bp 인상)
20221012,2.5,3.0,0.5,50.0,인상,빅스텝 (+50bp 인상)
20221124,3.0,3.25,0.25,25.0,인상,베이비스텝 (+25bp 인상)
20230113,3.25,3.5,0.25,25.0,인상,베이비스텝 (+25bp 인상)
20241011,3.5,3.25,-0.25,-25.0,인하,베이비스텝 (-25bp 인하)
20241128,3.25,3.0,-0.25,-25.0,인하,베이비스텝 (-25bp 인하)
20250225,3.0,2.75,-0.25,-25.0,인하,베이비스텝 (-25bp 인하)
20250529,2.75,2.5,-0.25,-25.0,인하,베이비스텝 (-25bp 인하)
20260716,2.5,2.75,0.25,25.0,인상,베이비스텝 (+25bp 인상)
