TIME,KTB_3Y,CORP_AA_3Y,SPREAD,SPREAD_BP
20210830,1.398,1.832,0.434,43.4
20210831,1.395,1.829,0.434,43.4
20210901,1.417,1.848,0.431,43.1
20210902,1.422,1.855,0.433,43.3
20210903,1.437,1.865,0.428,42.8
20210906,1.459,1.881,0.422,42.2
20210907,1.464,1.888,0.424,42.4
20210908,1.489,1.908,0.419,41.9
20210909,1.499,1.921,0.422,42.2
20210910,1.501,1.936,0.435,43.5
20210913,1.525,1.962,0.437,43.7
20210914,1.535,1.975,0.44,44.0
20210915,1.492,1.942,0.45,45.0
20210916,1.51,1.958,0.448,44.8
20210917,1.535,1.978,0.443,44.3
20210923,1.558,1.996,0.438,43.8
20210924,1.575,2.017,0.442,44.2
20210927,1.566,2.015,0.449,44.9
20210928,1.609,2.061,0.452,45.2
20210929,1.603,2.057,0.454,45.4
20210930,1.593,2.049,0.456,45.6
20211001,1.633,2.087,0.454,45.4
20211005,1.65,2.101,0.451,45.1
20211006,1.719,2.171,0.452,45.2
20211007,1.704,2.158,0.454,45.4
20211008,1.701,2.156,0.455,45.5
20211012,1.815,2.262,0.447,44.7
20211013,1.824,2.27,0.446,44.6
20211014,1.813,2.261,0.448,44.8
20211015,1.795,2.249,0.454,45.4
20211018,1.875,2.333,0.458,45.8
20211019,1.866,2.325,0.459,45.9
20211020,1.847,2.318,0.471,47.1
20211021,1.836,2.31,0.474,47.4
20211022,1.889,2.362,0.473,47.3
20211025,1.919,2.387,0.468,46.8
20211026,1.947,2.423,0.476,47.6
20211027,2.044,2.506,0.462,46.2
20211028,2.017,2.487,0.47,47.0
20211029,2.103,2.573,0.47,47.0
20211101,2.108,2.58,0.472,47.2
20211102,2.038,2.542,0.504,50.4
20211103,2.036,2.539,0.503,50.3
20211104,2.04,2.544,0.504,50.4
20211105,1.944,2.468,0.524,52.4
20211108,1.906,2.438,0.532,53.2
20211109,1.865,2.403,0.538,53.8
20211110,1.877,2.417,0.54,54.0
20211111,1.913,2.453,0.54,54.0
20211112,1.968,2.499,0.531,53.1
20211115,1.912,2.457,0.545,54.5
20211116,1.963,2.505,0.542,54.2
20211117,1.974,2.517,0.543,54.3
20211118,1.953,2.501,0.548,54.8
20211119,1.966,2.513,0.547,54.7
20211122,2.018,2.563,0.545,54.5
20211123,2.031,2.582,0.551,55.1
20211124,2.013,2.569,0.556,55.6
20211125,1.933,2.499,0.566,56.6
20211126,1.863,2.433,0.57,57.0
20211129,1.844,2.418,0.574,57.4
20211130,1.799,2.373,0.574,57.4
20211201,1.813,2.385,0.572,57.2
20211202,1.845,2.406,0.561,56.1
20211203,1.9,2.464,0.564,56.4
20211206,1.865,2.436,0.571,57.1
20211207,1.872,2.446,0.574,57.4
20211208,1.831,2.409,0.578,57.8
20211209,1.794,2.385,0.591,59.1
20211210,1.805,2.399,0.594,59.4
20211213,1.79,2.402,0.612,61.2
20211214,1.784,2.402,0.618,61.8
20211215,1.808,2.43,0.622,62.2
20211216,1.766,2.398,0.632,63.2
20211217,1.767,2.398,0.631,63.1
20211220,1.74,2.372,0.632,63.2
20211221,1.72,2.355,0.635,63.5
20211222,1.757,2.392,0.635,63.5
20211223,1.805,2.441,0.636,63.6
20211224,1.798,2.438,0.64,64.0
20211227,1.776,2.411,0.635,63.5
20211228,1.786,2.417,0.631,63.1
20211229,1.783,2.409,0.626,62.6
20211230,1.799,2.417,0.618,61.8
20211231,1.798,2.415,0.617,61.7
20220103,1.855,2.46,0.605,60.5
20220104,1.868,2.474,0.606,60.6
20220105,1.913,2.506,0.593,59.3
20220106,2.013,2.59,0.577,57.7
20220107,2.015,2.593,0.578,57.8
20220110,2.058,2.624,0.566,56.6
20220111,2.038,2.611,0.573,57.3
20220112,1.998,2.576,0.578,57.8
20220113,1.953,2.537,0.584,58.4
20220114,2.044,2.6,0.556,55.6
20220117,2.148,2.699,0.551,55.1
20220118,2.127,2.685,0.558,55.8
20220119,2.073,2.645,0.572,57.2
20220120,2.119,2.684,0.565,56.5
20220121,2.132,2.693,0.561,56.1
20220124,2.112,2.675,0.563,56.3
20220125,2.174,2.725,0.551,55.1
20220126,2.156,2.713,0.557,55.7
20220127,2.217,2.781,0.564,56.4
20220128,2.189,2.765,0.576,57.6
20220203,2.158,2.733,0.575,57.5
20220204,2.194,2.771,0.577,57.7
20220207,2.237,2.815,0.578,57.8
20220208,2.303,2.867,0.564,56.4
20220209,2.279,2.857,0.578,57.8
