TIME,DATA_VALUE,ITEM_NAME,UNIT
20210906,1.881,"회사채(3년, AA-)",연%
20210907,1.888,"회사채(3년, AA-)",연%
20210908,1.908,"회사채(3년, AA-)",연%
20210909,1.921,"회사채(3년, AA-)",연%
20210910,1.936,"회사채(3년, AA-)",연%
20210913,1.962,"회사채(3년, AA-)",연%
20210914,1.975,"회사채(3년, AA-)",연%
20210915,1.942,"회사채(3년, AA-)",연%
20210916,1.958,"회사채(3년, AA-)",연%
20210917,1.978,"회사채(3년, AA-)",연%
20210923,1.996,"회사채(3년, AA-)",연%
20210924,2.017,"회사채(3년, AA-)",연%
20210927,2.015,"회사채(3년, AA-)",연%
20210928,2.061,"회사채(3년, AA-)",연%
20210929,2.057,"회사채(3년, AA-)",연%
20210930,2.049,"회사채(3년, AA-)",연%
20211001,2.087,"회사채(3년, AA-)",연%
20211005,2.101,"회사채(3년, AA-)",연%
20211006,2.171,"회사채(3년, AA-)",연%
20211007,2.158,"회사채(3년, AA-)",연%
20211008,2.156,"회사채(3년, AA-)",연%
20211012,2.262,"회사채(3년, AA-)",연%
20211013,2.27,"회사채(3년, AA-)",연%
20211014,2.261,"회사채(3년, AA-)",연%
20211015,2.249,"회사채(3년, AA-)",연%
20211018,2.333,"회사채(3년, AA-)",연%
20211019,2.325,"회사채(3년, AA-)",연%
20211020,2.318,"회사채(3년, AA-)",연%
20211021,2.31,"회사채(3년, AA-)",연%
20211022,2.362,"회사채(3년, AA-)",연%
20211025,2.387,"회사채(3년, AA-)",연%
20211026,2.423,"회사채(3년, AA-)",연%
20211027,2.506,"회사채(3년, AA-)",연%
20211028,2.487,"회사채(3년, AA-)",연%
20211029,2.573,"회사채(3년, AA-)",연%
20211101,2.58,"회사채(3년, AA-)",연%
20211102,2.542,"회사채(3년, AA-)",연%
20211103,2.539,"회사채(3년, AA-)",연%
20211104,2.544,"회사채(3년, AA-)",연%
20211105,2.468,"회사채(3년, AA-)",연%
20211108,2.438,"회사채(3년, AA-)",연%
20211109,2.403,"회사채(3년, AA-)",연%
20211110,2.417,"회사채(3년, AA-)",연%
20211111,2.453,"회사채(3년, AA-)",연%
20211112,2.499,"회사채(3년, AA-)",연%
20211115,2.457,"회사채(3년, AA-)",연%
20211116,2.505,"회사채(3년, AA-)",연%
20211117,2.517,"회사채(3년, AA-)",연%
20211118,2.501,"회사채(3년, AA-)",연%
20211119,2.513,"회사채(3년, AA-)",연%
20211122,2.563,"회사채(3년, AA-)",연%
20211123,2.582,"회사채(3년, AA-)",연%
20211124,2.569,"회사채(3년, AA-)",연%
20211125,2.499,"회사채(3년, AA-)",연%
20211126,2.433,"회사채(3년, AA-)",연%
20211129,2.418,"회사채(3년, AA-)",연%
20211130,2.373,"회사채(3년, AA-)",연%
20211201,2.385,"회사채(3년, AA-)",연%
20211202,2.406,"회사채(3년, AA-)",연%
20211203,2.464,"회사채(3년, AA-)",연%
20211206,2.436,"회사채(3년, AA-)",연%
20211207,2.446,"회사채(3년, AA-)",연%
20211208,2.409,"회사채(3년, AA-)",연%
20211209,2.385,"회사채(3년, AA-)",연%
20211210,2.399,"회사채(3년, AA-)",연%
20211213,2.402,"회사채(3년, AA-)",연%
20211214,2.402,"회사채(3년, AA-)",연%
20211215,2.43,"회사채(3년, AA-)",연%
20211216,2.398,"회사채(3년, AA-)",연%
20211217,2.398,"회사채(3년, AA-)",연%
20211220,2.372,"회사채(3년, AA-)",연%
20211221,2.355,"회사채(3년, AA-)",연%
20211222,2.392,"회사채(3년, AA-)",연%
20211223,2.441,"회사채(3년, AA-)",연%
20211224,2.438,"회사채(3년, AA-)",연%
20211227,2.411,"회사채(3년, AA-)",연%
20211228,2.417,"회사채(3년, AA-)",연%
20211229,2.409,"회사채(3년, AA-)",연%
20211230,2.417,"회사채(3년, AA-)",연%
20211231,2.415,"회사채(3년, AA-)",연%
20220103,2.46,"회사채(3년, AA-)",연%
20220104,2.474,"회사채(3년, AA-)",연%
20220105,2.506,"회사채(3년, AA-)",연%
20220106,2.59,"회사채(3년, AA-)",연%
20220107,2.593,"회사채(3년, AA-)",연%
20220110,2.624,"회사채(3년, AA-)",연%
20220111,2.611,"회사채(3년, AA-)",연%
20220112,2.576,"회사채(3년, AA-)",연%
20220113,2.537,"회사채(3년, AA-)",연%
20220114,2.6,"회사채(3년, AA-)",연%
20220117,2.699,"회사채(3년, AA-)",연%
20220118,2.685,"회사채(3년, AA-)",연%
20220119,2.645,"회사채(3년, AA-)",연%
20220120,2.684,"회사채(3년, AA-)",연%
20220121,2.693,"회사채(3년, AA-)",연%
20220124,2.675,"회사채(3년, AA-)",연%
20220125,2.725,"회사채(3년, AA-)",연%
20220126,2.713,"회사채(3년, AA-)",연%
20220127,2.781,"회사채(3년, AA-)",연%
20220128,2.765,"회사채(3년, AA-)",연%
20220203,2.733,"회사채(3년, AA-)",연%
20220204,2.771,"회사채(3년, AA-)",연%
20220207,2.815,"회사채(3년, AA-)",연%
20220208,2.867,"회사채(3년, AA-)",연%
20220209,2.857,"회사채(3년, AA-)",연%
20220210,2.85,"회사채(3년, AA-)",연%
20220211,2.921,"회사채(3년, AA-)",연%
20220214,2.926,"회사채(3년, AA-)",연%
20220215,2.928,"회사채(3년, AA-)",연%
20220216,2.913,"회사채(3년, AA-)",연%
20220217,2.895,"회사채(3년, AA-)",연%
20220218,2.916,"회사채(3년, AA-)",연%
20220221,2.949,"회사채(3년, AA-)",연%
20220222,2.916,"회사채(3년, AA-)",연%
20220223,2.913,"회사채(3년, AA-)",연%
20220224,2.83,"회사채(3년, AA-)",연%
20220225,2.854,"회사채(3년, AA-)",연%
20220228,2.855,"회사채(3년, AA-)",연%
20220302,2.813,"회사채(3년, AA-)",연%
20220303,2.835,"회사채(3년, AA-)",연%
20220304,2.848,"회사채(3년, AA-)",연%
20220307,2.922,"회사채(3년, AA-)",연%
20220308,2.931,"회사채(3년, AA-)",연%
20220310,2.933,"회사채(3년, AA-)",연%
20220311,2.92,"회사채(3년, AA-)",연%
20220314,2.947,"회사채(3년, AA-)",연%
20220315,2.965,"회사채(3년, AA-)",연%
20220316,2.948,"회사채(3년, AA-)",연%
20220317,2.902,"회사채(3년, AA-)",연%
20220318,2.911,"회사채(3년, AA-)",연%
20220321,2.944,"회사채(3년, AA-)",연%
20220322,3.045,"회사채(3년, AA-)",연%
20220323,3.073,"회사채(3년, AA-)",연%
20220324,3.104,"회사채(3년, AA-)",연%
20220325,3.163,"회사채(3년, AA-)",연%
20220328,3.394,"회사채(3년, AA-)",연%
20220329,3.361,"회사채(3년, AA-)",연%
20220330,3.291,"회사채(3년, AA-)",연%
20220331,3.34,"회사채(3년, AA-)",연%
20220401,3.458,"회사채(3년, AA-)",연%
20220404,3.499,"회사채(3년, AA-)",연%
20220405,3.542,"회사채(3년, AA-)",연%
20220406,3.592,"회사채(3년, AA-)",연%
20220407,3.562,"회사채(3년, AA-)",연%
20220408,3.636,"회사채(3년, AA-)",연%
20220411,3.813,"회사채(3년, AA-)",연%
20220412,3.774,"회사채(3년, AA-)",연%
20220413,3.688,"회사채(3년, AA-)",연%
20220414,3.583,"회사채(3년, AA-)",연%
20220415,3.64,"회사채(3년, AA-)",연%
20220418,3.689,"회사채(3년, AA-)",연%
20220419,3.671,"회사채(3년, AA-)",연%
20220420,3.662,"회사채(3년, AA-)",연%
20220421,3.647,"회사채(3년, AA-)",연%
20220422,3.688,"회사채(3년, AA-)",연%
20220425,3.602,"회사채(3년, AA-)",연%
20220426,3.584,"회사채(3년, AA-)",연%
20220427,3.595,"회사채(3년, AA-)",연%
20220428,3.636,"회사채(3년, AA-)",연%
20220429,3.68,"회사채(3년, AA-)",연%
20220502,3.794,"회사채(3년, AA-)",연%
20220503,3.855,"회사채(3년, AA-)",연%
