TIME,DATA_VALUE,ITEM_NAME,UNIT
20210906,1.97,국고채(10년),연%
20210907,1.975,국고채(10년),연%
20210908,2.016,국고채(10년),연%
20210909,2.0,국고채(10년),연%
20210910,2.006,국고채(10년),연%
20210913,2.037,국고채(10년),연%
20210914,2.06,국고채(10년),연%
20210915,2.025,국고채(10년),연%
20210916,2.043,국고채(10년),연%
20210917,2.068,국고채(10년),연%
20210923,2.099,국고채(10년),연%
20210924,2.152,국고채(10년),연%
20210927,2.168,국고채(10년),연%
20210928,2.256,국고채(10년),연%
20210929,2.223,국고채(10년),연%
20210930,2.237,국고채(10년),연%
20211001,2.258,국고채(10년),연%
20211005,2.291,국고채(10년),연%
20211006,2.399,국고채(10년),연%
20211007,2.387,국고채(10년),연%
20211008,2.374,국고채(10년),연%
20211012,2.447,국고채(10년),연%
20211013,2.401,국고채(10년),연%
20211014,2.351,국고채(10년),연%
20211015,2.356,국고채(10년),연%
20211018,2.4,국고채(10년),연%
20211019,2.379,국고채(10년),연%
20211020,2.392,국고채(10년),연%
20211021,2.388,국고채(10년),연%
20211022,2.411,국고채(10년),연%
20211025,2.426,국고채(10년),연%
20211026,2.457,국고채(10년),연%
20211027,2.487,국고채(10년),연%
20211028,2.397,국고채(10년),연%
20211029,2.575,국고채(10년),연%
20211101,2.506,국고채(10년),연%
20211102,2.48,국고채(10년),연%
20211103,2.47,국고채(10년),연%
20211104,2.428,국고채(10년),연%
20211105,2.35,국고채(10년),연%
20211108,2.329,국고채(10년),연%
20211109,2.293,국고채(10년),연%
20211110,2.309,국고채(10년),연%
20211111,2.341,국고채(10년),연%
20211112,2.344,국고채(10년),연%
20211115,2.298,국고채(10년),연%
20211116,2.333,국고채(10년),연%
20211117,2.359,국고채(10년),연%
20211118,2.338,국고채(10년),연%
20211119,2.372,국고채(10년),연%
20211122,2.386,국고채(10년),연%
20211123,2.4,국고채(10년),연%
20211124,2.394,국고채(10년),연%
20211125,2.348,국고채(10년),연%
20211126,2.255,국고채(10년),연%
20211129,2.266,국고채(10년),연%
20211130,2.213,국고채(10년),연%
20211201,2.182,국고채(10년),연%
20211202,2.198,국고채(10년),연%
20211203,2.234,국고채(10년),연%
20211206,2.213,국고채(10년),연%
20211207,2.24,국고채(10년),연%
20211208,2.185,국고채(10년),연%
20211209,2.188,국고채(10년),연%
20211210,2.201,국고채(10년),연%
20211213,2.169,국고채(10년),연%
20211214,2.169,국고채(10년),연%
20211215,2.166,국고채(10년),연%
20211216,2.147,국고채(10년),연%
20211217,2.153,국고채(10년),연%
20211220,2.107,국고채(10년),연%
20211221,2.099,국고채(10년),연%
20211222,2.147,국고채(10년),연%
20211223,2.212,국고채(10년),연%
20211224,2.206,국고채(10년),연%
20211227,2.211,국고채(10년),연%
20211228,2.198,국고채(10년),연%
20211229,2.18,국고채(10년),연%
20211230,2.248,국고채(10년),연%
20211231,2.25,국고채(10년),연%
20220103,2.325,국고채(10년),연%
20220104,2.32,국고채(10년),연%
20220105,2.375,국고채(10년),연%
20220106,2.481,국고채(10년),연%
20220107,2.458,국고채(10년),연%
20220110,2.484,국고채(10년),연%
20220111,2.485,국고채(10년),연%
20220112,2.428,국고채(10년),연%
20220113,2.397,국고채(10년),연%
20220114,2.453,국고채(10년),연%
20220117,2.568,국고채(10년),연%
20220118,2.553,국고채(10년),연%
20220119,2.537,국고채(10년),연%
20220120,2.558,국고채(10년),연%
20220121,2.54,국고채(10년),연%
20220124,2.54,국고채(10년),연%
20220125,2.576,국고채(10년),연%
20220126,2.573,국고채(10년),연%
20220127,2.612,국고채(10년),연%
20220128,2.586,국고채(10년),연%
20220203,2.566,국고채(10년),연%
20220204,2.619,국고채(10년),연%
20220207,2.638,국고채(10년),연%
20220208,2.733,국고채(10년),연%
20220209,2.691,국고채(10년),연%
20220210,2.686,국고채(10년),연%
20220211,2.747,국고채(10년),연%
20220214,2.714,국고채(10년),연%
20220215,2.71,국고채(10년),연%
20220216,2.702,국고채(10년),연%
20220217,2.708,국고채(10년),연%
20220218,2.728,국고채(10년),연%
20220221,2.77,국고채(10년),연%
20220222,2.717,국고채(10년),연%
20220223,2.722,국고채(10년),연%
20220224,2.624,국고채(10년),연%
20220225,2.671,국고채(10년),연%
20220228,2.675,국고채(10년),연%
20220302,2.613,국고채(10년),연%
20220303,2.648,국고채(10년),연%
20220304,2.658,국고채(10년),연%
20220307,2.707,국고채(10년),연%
20220308,2.722,국고채(10년),연%
20220310,2.726,국고채(10년),연%
20220311,2.7,국고채(10년),연%
20220314,2.739,국고채(10년),연%
20220315,2.753,국고채(10년),연%
20220316,2.768,국고채(10년),연%
20220317,2.704,국고채(10년),연%
20220318,2.737,국고채(10년),연%
